Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
62,7.08784e-07,0.141597,5000,1,15,1,0,1,1
63,7.08784e-07,0.141597,5000,1,15,1,0,1,1
64,7.08784e-07,0.141597,5000,1,15,1,0,1,1
65,7.08784e-07,0.141597,5000,1,15,1,0,1,1
66,7.08784e-07,0.141597,5000,1,15,1,0,1,1
67,7.08784e-07,0.141597,5000,1,15,1,0,1,1
68,7.08784e-07,0.141597,5000,1,15,1,0,1,1
69,7.08784e-07,0.141597,5000,1,15,1,0,1,1
70,7.08784e-07,0.141597,5000,1,15,1,0,1,1
71,7.08784e-07,0.141597,5000,1,15,1,0,1,1
72,7.08784e-07,0.141597,5000,1,15,1,0,1,1
73,7.08784e-07,0.141597,5000,1,15,1,0,1,1
74,7.08784e-07,0.141597,5000,1,15,1,0,1,1
75,7.08784e-07,0.141597,5000,1,15,1,0,1,1
76,7.08784e-07,0.141597,5000,1,15,1,0,1,1
77,7.08784e-07,0.141597,5000,1,15,1,0,1,1
78,7.08784e-07,0.141597,5000,1,15,1,0,1,1
79,7.08784e-07,0.141597,5000,1,15,1,0,1,1
80,7.08784e-07,0.141597,5000,1,15,1,0,1,1
81,7.08784e-07,0.141597,5000,1,15,1,0,1,1
82,7.08784e-07,0.141597,5000,1,15,1,0,1,1
83,7.08784e-07,0.141597,5000,1,15,1,0,1,1
84,7.08784e-07,0.141597,5000,1,15,1,0,1,1
85,7.08784e-07,0.141597,5000,1,15,1,0,1,1
86,7.08784e-07,0.141597,5000,1,15,1,0,1,1
87,7.08784e-07,0.141597,5000,1,15,1,0,1,1
88,7.08784e-07,0.141597,5000,1,15,1,0,1,1
89,7.08784e-07,0.141597,5000,1,15,1,0,1,1
90,7.08784e-07,0.141597,5000,1,15,1,0,1,1
91,7.08784e-07,0.141597,5000,1,15,1,0,1,1
92,7.08784e-07,0.141597,5000,1,15,1,0,1,1
93,7.08784e-07,0.141597,5000,1,15,1,0,1,1
94,7.08784e-07,0.141597,5000,1,15,1,0,1,1
95,7.08784e-07,0.141597,5000,1,15,1,0,1,1
96,7.08784e-07,0.141597,5000,1,15,1,0,1,1
97,7.08784e-07,0.141597,5000,1,15,1,0,1,1
98,7.08784e-07,0.141597,5000,1,15,1,0,1,1
99,7.08784e-07,0.141597,5000,1,15,1,0,1,1
100,7.08784e-07,0.141597,5000,1,15,1,0,1,1
101,7.08784e-07,0.141597,5000,1,15,1,0,1,1
